ID,First Author,Other Authors,Last Author,Title,Publish Year,Journal,DOI/PMID/Link,Abstract,Rank,Model,Primary Topic,Secondary Topic,Tertiary Topic,Vehicle,pH,Application,Comparison,Complement,Country
1,"Alharbi, Ahad Abdulkarim D.","Ebine, Naoyuki; Nakae, Satoshi; Hojo, Tatsuya","Fukuoka, Yoshiyuki",Application of Molecular Hydrogen as an Antioxidant in Responses to Ventilatory and Ergogenic Adjustments during Incremental Exercise in Humans ,2021,Nutrients,10.3390/nu13020459 ,"We investigated effects of molecular hydrogen (H2) supplementation on acid-base status, pulmonary gas exchange responses, and local muscle oxygenation during incremental exercise. Eighteen healthy, trained subjects in a randomized, double-blind, crossover design received H2-rich calcium powder (HCP) (1500 mg/day, containing 2.544 µg/day of H2) or H2-depleted placebo (1500 mg/day) for three consecutive days. They performed cycling incremental exercise starting at 20-watt work rate, increasing by 20 watts/2 min until exhaustion. Breath-by-breath pulmonary ventilation (V˙E) and CO2 output (V˙CO2) were measured and muscle deoxygenation (deoxy[Hb + Mb]) was determined via time-resolved near-infrared spectroscopy in the vastus lateralis (VL) and rectus femoris (RF). Blood gases' pH, lactate, and bicarbonate (HCO3-) concentrations were measured at rest and 120-, 200-, and 240-watt work rates. At rest, the HCP group had significantly lower V˙E, V˙CO2, and higher HCO3-, partial pressures of CO2 (PCO2) versus placebo. During exercise, a significant pH decrease and greater HCO3- continued until 240-watt workload in HCP. The V˙E was significantly lower in HCP versus placebo, but HCP did not affect the gas exchange status of V˙CO2 or oxygen uptake (V˙O2). HCP increased absolute values of deoxy[Hb + Mb] at the RF but not VL. Thus, HCP-induced hypoventilation would lead to lower pH and secondarily impaired balance between O2 delivery and utilization in the local RF during exercise, suggesting that HCP supplementation, which increases the at-rest antioxidant potential, affects the lower ventilation and pH status during incremental exercise. HPC induced a significantly lower O2 delivery/utilization ratio in the RF but not the VL, which may be because these regions possess inherently different vascular/metabolic control properties, perhaps related to fiber-type composition. ",Neutral,Human,Whole Body,Excercise,Performance Enhancement,Gas (Sustained Release),N/A,Ingestion,,Calcium,Japan
2,"Botek, Michal","Krejci, Jakub; McKune, Andrew; Valenta, Michal","Sladeckova, Barbora","Hydrogen Rich Water Consumption Positively Affects Muscle Performance, Lactate Response, and Alleviates Delayed Onset of Muscle Soreness After Resistance Training ",2021,Journal of Strength and Conditioning Research,10.1519/JSC.0000000000003979 ,"Hydrogen rich water consumption positively affects muscle performance, lactate response, and alleviates delayed onset of muscle soreness after resistance training. J Strength Cond Res XX(X): 000-000, 2021-Positive outcomes of hydrogen rich water (HRW) supplementation on endurance performance have been shown, but the effects of HRW in resistance training are unclear. The aim of this study was to assess the effects of 1,260 ml of HRW intake on physiological, perceptual, and performance responses to a resistance training and after 24 hours of recovery. This randomized, double-blinded placebo-controlled cross-over study included 12 men aged 23.8 ± 1.9 years. Subjects performed a half squat, knee flexion, and extension exercises with the load set at 70% of 1 repetition maximum for 3 sets (10 reps/set). Lunges were performed with a load of 30% of body mass for 3 sets (20 reps/set). Time of each set, lactate, and ratings of perceived exertion were assessed mid-way through exercise and immediately after the exercise. Creatine kinase, muscle soreness visual analog scale ratings, countermovement jump, and heart rate variability were evaluated before the training and at 30 minutes, 6, and 24 hours of recovery. Lunges were performed faster with HRW compared with placebo (p < 0.001). Hydrogen rich water reduced lactate at mid-way and immediately after the exercise (HRW: 5.3 ± 2.1 and 5.1 ± 2.2, placebo: 6.5 ± 1.8 and 6.3 ± 2.2 mmol·L-1, p ≤ 0.008). Visual analog scale ratings were significantly lower with HRW (26 ± 11 vs. 41 ± 20 mm, p = 0.002) after 24 hours of recovery. In conclusion, an acute intermittent HRW hydration improved muscle function, reduced the lactate response, and alleviated delayed onset of muscle soreness. ",Positive,Human,Whole Body,Excercise,Fatigue,Water (Mg-Chemico),Alkaline,Ingestion,,,Czech Republic
3,"Carnovali, Marta","Mariotti, Massimo","Banfi, Giuseppe",Molecular hydrogen enhances osteogenesis in Danio rerio embryos ,2021,Journal of Fish Biology,10.1111/jfb.14670 ,"Molecular hydrogen (H2 ) has been reported to have important biological effects on bone tissue in several in vitro and in vivo models. Danio rerio (zebrafish) embryo is a good model to study osteogenesis because its transparency, size and rapid development. In zebrafish embryo, hydrogen rich water (HRW) do not affect vitality or growth rate up to 15%. In addition, 7% HRW treatment enhances zebrafish embryo osteogenesis increasing vertebral mineralization rate. In conclusion, we demonstrated the beneficial effects of hydrogen on anabolic bone functions in vivo. This article is protected by copyright. All rights reserved. ",Positive,Zebrafish,Bone,Osteogenesis,Mineralization Rate,Water (Electrolysis),Neutral,Immersion,,,Italy
4,"Chen, Hongguang","Dong, Beibei; Shi, Yuan; Yu, Yonghao","Xie, Ke-Liang",Hydrogen alleviated neuronal injury and neuroinflammation induced by microglial activation via the Nrf2 pathway in sepsis-associated encephalopathy,2021,Neuroscience,10.1016/j.neuroscience.2021.05.003 ,"Objective: Sepsis-associated encephalopathy (SAE) is characterized by diffuse cerebral and central nervous system (CNS) dysfunction. Microglia play a vital role in protecting the brain from neuronal damage, which is closely related to inflammatory responses. The Nrf2 signaling pathway has an impact on microglial and neuronal injury. Here, we mainly explored the molecular mechanism by which H2 regulates neuroinflammation in SAE and the role of Nrf2 in this process. Methods: An in vivo model of SAE was generated by cecal ligation and puncture (CLP). Primary microglia and neurons were cultured to establish an in vitro model. Microglia, neurons and brain tissue were obtained to detect Nrf2 expression, inflammation, cell injury, apoptosis, and microglial polarization. Escape latency, the number of platform crossings and the time spent in the target quadrant were measured to assess cognitive function. Results: H2 attenuated microglial polarization from the M1 to the M2 phenotype, cytokine release and TLR/NF-κb activation and protected neurons from LPS-activated microglia-induced injury via the Nrf2 pathway. SAE activated Nrf2 expression, and H2 further improved Nrf2 expression in SAE mice. H2 alleviated microglial polarization from the M1 to the M2 phenotype and cytokine release in the cerebral cortex and improved neuronal injury or cognitive dysfunction in SAE mice and wild-type mice but not in Nrf2-/- mice. Conclusion: H2 exerts antineuroinflammatory effects associated with TLR4/NF-κB signaling activation and neuroprotective effects by inhibiting the excessive release of proinflammatory cytokines, neuronal loss and apoptosis in vitro and in vivo through the Nrf2 pathway.
",Positive,Cell Culture,Brain,Sepsis,Encephalopathy,Medium (Dissolved),Neutral,Culture Media,,,China
5,"Chen, Ji-Bing","Kong, Xiao-Feng","Mu, Feng",High-flow hydrogen inhalation might suppresses the immune function of middle-aged participants: a self-controlled study ,2021,Medical Gas Research,10.4103/2045-9912.310054 ,"Hydrogen inhalation therapy has been proven to be safe and effective in disease treatment in multiple clinical reports, but the gas flow rates used in different studies vary greatly. Since there is no upper limit for the safe concentration of hydrogen, this study tested the effects of high-flow (not high concentration) hydrogen inhalation on immune function. From October 2019 to January 2020, 20 adult participants (31-60 years old) were enrolled in a self-controlled study to check the immune function in peripheral blood lymphocyte subsets before and after a 2-week hydrogen inhalation protocol. The participants inhaled hydrogen for 2 or 4 hours each day. After 2 weeks of hydrogen inhalation, statistically significant changes were observed in follicular helper T cells, helper and cytotoxic T cells, natural killer and natural killer T cells, and gamma delta T cells, generally suggesting a decrease in their proportions. These results show that high-flow hydrogen inhalation has an inhibitory effect on the immune function of healthy participants. The study protocol received ethical approval from the Ethics Committee of Fuda Cancer Hospital, Jinan University on December 7, 2018 (approval No. Fuda20181207). ",Negative,Human,Whole Body,Aging,Immune Dysfunction,Gas,N/A,Inhalation,,,China
6,"Chilicka, Karlona","Rogowska, Aleksandra M.","Szygula, Renata",Effects of Topical Hydrogen Purification on Skin Parameters and Acne Vulgaris in Adult Women ,2021,Healthcare,10.3390/healthcare9020144 ,"Background: Acne vulgaris is a prevalent dermatological disease characterized by skin eruptions, which may decrease the sufferer's quality of life. Hydrogen purification treatment is a new procedure used in cosmetology to improve the skin parameters of the face. This study examined the effectiveness of hydrogen purification treatment to improve women's skin conditions with regard to acne vulgaris. Methods: In this study, 30 women participated who suffered from a high level of sebum and acne. The control group was comprised of 30 healthy women with a low level of sebum. The Hellgren-Vincent Scale and Derma Unit SSC 3 device were used to assess acne vulgaris severity and skin properties, respectively. Four hydrogen purification sessions were carried out at 7-day intervals, using the Hebe Hydrogenium+ generating alkaline water. Results: At baseline and 7 and 14 days after finishing the series of treatments, the levels of oiliness, moisture, and skin pH were tested. The main effects of treatment were significant in the following parameters: pH around the bottom lip, moisture between the eyebrows and around the nose, and oily skin in all three face sites. Conclusions: The level of sebum decreased and moisture levels increased during hydrogen purification. Topical hydrogen purification is an effective and safe treatment for acne vulgaris.
",Positive,Human,Skin,Cosmetic Issues,Acne,Water (Electrolysis),Alkaline,Bath,,,Poland
7,"Botek, Michal","Sladeckova, Barbora; Krejci, Jakub; Pluhacek, Frantisek","Najmanova, Eliska",Acute hydrogen-rich water ingestion stimulates cardiac autonomic activity in healthy females,2021,Acta Gymnica,10.5507/ag.2021.009,"Background: Hydrogen-rich water (HRW) has been shown to have a stimulating effect on the human body. Objective: The aim of the study was to assess the influence of acute HRW intake on autonomic cardiac regulation during 50 min of rest sitting. Methods: Fourteen healthy females (age 21.7 ± 1.2 years, body mass 67.8 ± 8.7 kg, height 167 ± 5.5 cm) took part in this double-blind, randomized, placebo-controlled trial with crossover design. Heart rate variability (HRV) was monitored in the sitting position after administration of 1260 ml of HRW or placebo. Time domain indexes of HRV as the square root of the mean of the squares of differences between adjacent RR intervals (RMSSD), the standard deviation of all RR intervals (SDNN) and the ratio of SDNN/RMSSD as an index of sympatho-vagal balance were used to assess autonomic cardiac response. The values were transformed using natural logarithm (Ln). Results: After administration of HRW, we found significantly increased ratio Ln SDNN/RMSSD when comparing it to placebo in 25 min (HRW: 0.40 ± 0.30, placebo: 0.26 ± 0.25, p = .049) and 35 min (HRW: 0.44 ± 0.30, placebo: 0.28 ± 0.28, p = .029) of rest sitting. Ln SDNN was significantly increased after HRW administration when compared to placebo in 45 min (HRW: 4.41 ± 0.42 ms, placebo: 4.28 ± 0.31 ms, p = .049) of rest sitting. Conclusions: Acute HRW ingestion induced a relative increase in sympathetic activity between 25 and 35 min post-ingestion, whereas vagal activity was not affected.",Neutral,Human,Heart,Excercise,Heart Rhythm,"Water, Commercial (Aquastamina)",Neutral,Ingestion,,,Czech Republic
8,"Gulburun, Merve Altin","Karabulut, Ramazan; Turkyilmaz, Zafer; Eryilmaz, Sibel; Kaya, Cem; Arslan, Burak; Gulbahar, Ozlem; Poyraz, Aylar","Sonmez, Kaan",Protective effects of hydrogen rich saline solution on ventral penile mathieu type flap with penile tourniquet application in rats ,2021,Journal of Pediatric Urology,10.1016/j.jpurol.2021.01.046 ,"Introduction: Penile tourniquet (Pt) application aims to work in a bloodless field in penile surgery. When the tourniquet is released, reperfusion injury occurs with the resumption of blood flow. Molecular hydrogen can easily attach to biomembranes and enter cytosol, mitochondria and other organelles of the cell and convert the formed OH- to H₂O to prevent cell and tissue damage. Aim: We investigated the effects of hydrogen rich saline solution (HRSS) on penile Mathieu type flap tissue with Pt application in rats. Study design: Thirty-six Wistar-albino male rats were randomly divided into six groups. No operations were performed in the Sham group. Ventral penile Mathieu type flap was prepared and Pt was applied to the root of the penis with a plastic band in other groups. Pt was applied 10 and 30 min in the PT1⁰ and PT³⁰ groups. HRSS was injected intraperitoneally (ip) 5 ml/kg just before Pt was released in the HRSS1⁰ and HRSS³⁰ groups. In the HRSSB group, HRSS was injected 1 h before 10 min of Pt application. At the 4th hour of experiments the rats were sacrificed and tissue samples were taken for biochemical and histopathological studies. Tumor necrosis factor-α (TNF-α), interleukin-6 (IL-6), myeloperoxidase (MPO), malondialdehyde (MDA) and glutathione (GSH) levels were determined in the penile tissue. The results were analyzed with one-way ANOVA and Pearson's Chi-Squared test. Results: Tissue MDA, MPO, IL-6 and TNF-α values were significantly lower in all HRSS groups compared to PT1⁰ and PT³⁰ groups. Tissue GSH levels of HRSS groups were higher compared to PT groups. Histopathologically, inflammation was found to be higher in PT groups compared to HRSS groups. Interestingly, in the HRSSB group with HRSS administration prior to Pt, the damage was less in grade, but not statistically different than the other HRSS groups (p > 0.05). Discussion: In previous studies, damage in histopathological examinations after Pt could only be demonstrated long after tourniquet applications such as 24 h and with longer duration of Pt such as 30 min. Structural changes in different Pt application times could be demonstrated at 60 min by electron microscopy and 48 h by light microscopy. In this study, the histopathological effect of Pt application could be demonstrated at the 4th hour after release and HRSS was observed to reduce the damage histopathologically as well as biochemically with its anti-inflammatory and antioxidant effects. It was observed that administration of HRSS either before or following Pt did not cause an alteration statistically. ",Positive,Rat,Penis,Surgery/Transplantation,Ischemia-Reperfusion (I/R) Injury,Saline (Dissolved),Neutral,Injection,,,Turkey
9,"Hirano, Shin-Ichi","Aoki, Yukimasa; Li, Xiao-Kang; Ichimaru, Naotsugu; Takahara, Shiro","Takefuji, Yoshiyasu",Protective effects of hydrogen gas inhalation on radiation-induced bone marrow damage in cancer patients: a retrospective observational study,2021,Medical Gas Research,10.4103/2045-9912.314329 ,"Although intensity-modulated radiation therapy (IMRT) has been developed as an alternative to conventional radiotherapy, reducing bone marrow damage is limited. Thus, a novel technology is needed to further mitigate IMRT-induced bone marrow damage. Molecular hydrogen (H2) was recently reported as a preventive and therapeutic antioxidant that selectively scavenges hydroxyl radical (·OH) and peroxynitrite (ONOO-). This observational study aimed to examine whether H2 gas treatment improves IMRT-induced bone marrow damage in cancer patients. The study was performed at Clinic C4 in Tokyo, Japan between May 2015 and November 2016. During this period, all enrolled patients received IMRT once per day for 1 to 4 weeks. After each time of IMRT, the patients of control group (n = 7, 3 men and 4 women, age range: 26-70 years) received mild hyperbaric oxygen therapy in health care chamber for 30 minutes, and the patients of H2 group (n = 16, 8 men and 8 women, age range: 35-82 years) received 5% H2 gas in health care chamber for 30 minutes once per day. Radiation-induced bone marrow damage was evaluated by hematological examination of peripheral blood obtained before and after IMRT, and the data were expressed by the ratio after to before treatment. The total number of radiation times and total exposure doses of radiation were similar between the control and H2 groups. IMRT with health care chamber therapy significantly reduced white blood cells and platelets, but not red blood cells, hemoglobin and hematocrit. In contrast, H2 gas treatment significantly alleviates the reducing effects of white blood cells and platelets (P = 0.0011 and P = 0.0275, respectively). Tumor responses to IMRT were similar between the two groups. The results obtained demonstrated that H2 gas inhalation therapy alleviated IMRT-induced bone marrow damage without compromising the anti-tumor effects of IMRT. The present study suggests that this novel approach of H2 gas inhalation therapy may be applicable to IMRT-induced bone marrow damage in cancer patients. The study protocol was approved by an Ethics Committee Review of Tokyo Clinic and Research Institute ICVS Incorporated (Tokyo, Japan) on February 1, 2019, and was registered in the University Hospital Medical Information Network (UMIN) Clinical Trials Registry (UMIN ID: UMIN000035864) on February 20, 2019. ",Positive,Human,Bone Marrow,Cancer,Radioprotection,Gas,N/A,Inhalation,,,Japan
10,"Hu, Di","Li, Danxi; Shigeta, Mika; Ochi, Yuta; Okauchi, Takashi; Neyama, Hiroyuki; Kabayama, Shigeru; Watanabe, Yasuyoshi","Cui, Yilong",Alleviation of the chronic stress response attributed to the antioxidant and anti-inflammatory effects of electrolyzed hydrogen water ,2021,Biochemical and Biophysical Research Communications,10.1016/j.bbrc.2020.12.035 ,"Reactive oxygen species (ROS) are highly reactive and directly attack surrounding biomolecules to deteriorate cellular and tissue functions. Meanwhile, ROS also serve as signaling mediators to upregulate pro-inflammatory cytokine expression via activation of the nuclear factor kappa B signaling pathway, and the increased pro-inflammatory cytokines trigger respiratory burst of inflammatory cells that further accelerates ROS production in the inflamed tissue. Such crosstalk between ROS and inflammatory responses leads to a chain reaction of negativity, and cause progression of several chronic pathologies. Since molecular hydrogen is known to preferentially remove cytotoxic hydroxyl radicals and peroxynitrites, and to prevent cell and tissue damage, we here examined whether electrolyzed hydrogen water (EHW) enriched with molecular hydrogen and reactive hydrogen storing platinum nanoparticles dissolved from an electrode could alleviate oxidative stress and inflammation induced by continuous stress challenges. Five-day continuous stress loading to rats elevated reactive oxygen metabolites-derived compounds (d-ROMs), interleukin (IL)-1β, and adrenocorticotropic hormone (ACTH) levels and decreased the biological antioxidant potential (BAP) level. Drinking EHW during 5-day continuous stress loading significantly alleviated all of these changes. The results suggest that EHW could suppress stress-response-associated oxidative stress and IL-1β level elevation in vivo, and that drinking of EHW is effective for controlling stress responses via its antioxidant potential. ",Positive,Rat,Whole Body,Stress Resilience,Oxidative Stress,Water (Electrolysis),Neutral,Ingestion,,Platinum,Japan
