First Author,Other Authors,Last Author,Title,Publish Year,Journal,DOI/PMID/Link,Abstract,Designation,Topic,Country
"Harguindey, Salvador",,,Hydrogen ion dynamics and cancer: An appraisal,1982,Medical and Pediatric Oncology,10.1002/mpo.2950100302,"The concentration of hydrogen ions plays a critical role in all biochemical processes, including multiple enzymatic reactions, and in the regulation of metabolism. The acid-base aspects of metabolism as applied to cancer are considered. Preliminary data are presented. The primary concept of hydrogen ion dynamics is related to prevention, development, and etiology of carcinogenicity, as well as to the regression of certain malignant malignant tumors. The present overview summarizes, in terms of H+ dynamics, many related concepts in oncologic research and associates and integrates a variety of basic and clinical observations toward better understanding of cancer cell behavior, biology, and host-tumor relationships.",Review,Cancer,United States
"Neale, R.J.",,,Dietary fibre and health: the role of hydrogen production ,1988,Medical Hypotheses,10.1016/0306-9877(88)90091-6 ,"The biological basis for the epidemiological association between high dietary fibre intakes and reduced disease incidence in Man is not fully understood. It is proposed that molecular hydrogen, produced in quite large amounts as a by-product of colonic fermentation of dietary fibre and unabsorbed carbohydrate may play an important role. Hydrogen in the tissues may act as a powerful reducing agent (antioxidant) of potentially damaging free radical species (e.g. singlet oxygen) and in so doing, along with other antioxidants would help in the control of these potentially damaging species and their known involvement in disease causation. ",Review,Hydrogen Biology,United Kingdom
"Strocchi, A.",,"Levitt, M.D.",Maintaining intestinal H2 balance: credit the colonic bacteria ,1992,Gastroenterology,10.1016/0016-5085(92)90790-6 ,No abstract available,Editorial,Cell Culture,In Vivo Hydrogen Dynamics
"Jones, David",,,Gas Therapy,1996,Nature,10.1038/383676a0,No abstract available,Editorial,Oxidative Stress/General Health,United States
"Nandi, R.",,"Sengupta, S.",Microbial Production of Hydrogen: An Overview,1998,Critical Reviews in Microbiology,10.1080/10408419891294181,"Production of hydrogen by anaerobes, facultative anaerobes, aerobes, methylotrophs, and photosynthetic bacteria is possible. Anaerobic Clostridia are potential producers and immobilized C. butyricum produces 2 mol H2/mol glucose at 50% efficiency. Spontaneous production of H2 from formate and glucose by immobilized Escherichia coli showed 100% and 60% efficiencies, respectively. Enterobactericiae produces H2 at similar efficiency from different mono-saccharides during growth. Among methylotrophs, methanogenes, rumen bacteria, and thermophilic archae, Ruminococcus albus, is promising (2.37 mol/mol glucose). Immobilized aerobic Bacillus licheniformis optimally produces 0.7 mol H2/mol glucose. Photosynthetic Rhodospirillum rubrum produces 4, 7, and 6 mol of H2 from acetate, succinate, and malate, respectively. Excellent productivity (6.2 mol H2/mol glucose) by co-cultures of Cellulomonas with a hydrogenase uptake (Hup) mutant of R. capsulata on cellulose was found. Cyanobacteria, viz., Anabaena, Synechococcus, and Oscillatoria sp., have been studied for photoproduction of H2. Immobilized A. cylindrica produces H2 (20 ml/g dry wt/h) continually for 1 year. Increased H2 productivity was found for Hup-mutant of A. variabilis. Synechococcus sp. has a high potential for H2 production in fermentors and outdoor cultures. Simultaneous productions of oxychemicals and H2 by Klebseilla sp. and by enzymatic methods were also attempted. The fate of H2 biotechnology is presumed to be dictated by the stock of fossil fuel and state of pollution in future.",Review,Hydrogen Biology,India
"Gadek, Z.",,,The Nordenau-Phenomenon—Facts and Hypotheses,1999,"Animal Cell Technology: Products from Cells, Cells as Products",10.1007/0-306-46875-1_112,"The reaction shown by the 515 test-subjects (318 female, 197 male) to the so-called “Nordenau-Phenomenon” (meaning an old slate tunnel with an underground source of spring-water, which are said to have a healing effect) was verified. Chronically ill and incurable people have been pilgrimaging there for 6 years (a few hundred daily). The average age of the test-subjects was 66, the length of stay was 6 days (taking 2 tunnelwalks at 30 min. each and consuming 2 litres of water daily). The spring water was seen as a possible active substance, as it possesses the quality of “reduced water” (triple analysis in the Laboratory of Cellular Regulation Technology Kyushu University, Japan). In order to record a picture of the symptoms, a list of complaints based on a complaint questionnaire (Hock. K. and Hess, H., Berlin 1975) was modified and presented in form of a rating-scale in 10 steps. The test-subjects had a choice of 47 different statements to describe the current experienced extent of their respective symptom at the beginning of their stay (Measure Point MP1), at the end of their stay MP2 and after three months MP3, divided into steps of intensity. The most important point concerning the evaluation of this survey is the following: at no time were the examinees asked if they had felt any improvement or deterioration in their condition. Furthermore, it was technically impossible for the testees to draw comparisons between the three test results as they had no access to previous pathological findings. Consequently the examinees had no point of orientation to set the placebo mechanism in motion.",Review,Oxidative Stress/General Health,Germany
"Shirahata, Sanetaka",,,Regulation of functions of animal cells by reduced water and its medical application,2000,Nippon Nogeikagaku Kaishi,10.1271/nogeikagaku1924.74.994,No abstract available,Review,Oxidative Stress/General Health,Japan
"Koseki, Shigenobu",,"Itoh, Kazuhiko",Fundamental Properties of Electrolyzed Water,2000,Nippon Shokuhin Kagaku Kogaku Kaishi,10.3136/nskkk.47.390,"Electrolyzed Water (Acidic Electrolyzed Water, Alkaline Electrolyzed Water) has recently attracted the interest of researchers in various fields such as medicine, agriculture and food processing. in this study, we investigated the preservability of Electrolyzed Water produced in a two-cell batch-type apparatus. It was found that Acidic Electrolyzed Water could be preserved for one year under shaded and sealed conditions. However, Acidic Electrolyzed Water became inert after three days when exposed to light, although pH remained stable for one year. It was found out that the quality of Alkaline Electrolyzed Water changes easily regardless of preservation conditions.",Review,Hydrogen Biology,Japan
"Acuna-Castroviejo, Dario","Escames, Germaine; Carazo, Angel; Leon, Josefa; Khaldy, Huda","Reiter, Russel J.","Melatonin, mitochondrial homeostasis and mitochondrial-related diseases ",2002,Current Topics in Medical Chemistry,10.2174/1568026023394344 ,"The recently described 'hydrogen hypothesis' invokes metabolic symbiosis as the driving force for a symbiotic association between an anaerobic, strictly hydrogen-dependent organism (the host) and an eubacterium (the symbiont) that is able to respire, but which generates molecular hydrogen as an end product of anaerobic metabolism. The resulting proto-eukaryotic cell would have acquired the essentials of eukaryotic energy metabolism, evolving not only aerobic respiration, but also the cost of oxygen consumption, i.e., generation of reactive oxygen species (ROS) and oxidative damage. Mitochondria contain their own genome with a modified genetic code that is highly conserved among mammals. Control of gene expression suggests that transcription of certain mitochondrial genes may be regulated in response to the redox potential of the mitochondrial membrane. Mitochondria are involved in energy production and conservation, and they have an uncoupling mechanism to produce heat instead of ATP. Also, mitochondria are involved in programmed cell death. Increasing evidence suggests the participation of mitochondria in neurodegenerative and neuromuscular diseases involving alterations in both nuclear (nDNA) and mitochondrial (mtDNA) DNA. Melatonin is now known as a powerful antioxidant and increasing experimental evidence shows its beneficial effects against oxidative stress-induced macromolecular damage and diseases, including those in which mitochondrial function is affected. This review summarizes the data and mechanisms of action of melatonin in relation to mitochondrial pathologies. ",Review,Mitochondrial Health,Spain
"Hayashi, Hidemitsu",,"Kawamura, Munenori",Clinical Applications of Electrolyzed-Reduced Water,2002,Animal Cell Technology: Basic and Applies Aspects,10.1007/978-94-017-0728-2_6,"A very important and interesting paper was submitted by Happe in January ‘97 (1). He says, the oldest life forms ‘Desulfoviorio gigas’ 3.8 billion years old, had developed an enzyme ‘hydrogenase’, to activate hydrogen,namely to split molecular hydrogen to atomic hydrogen. Here,the question presented to us is why it was necessary for the oldest life forms to develop such an enzyme as hydrogenase.",Chapter,Oxidative Stress/General Health,Japan
