First Author,Other Authors,Last Author,Title,Publish Year,Journal,DOI/PMID/Link,Abstract,Country
"Lee, Jooyoung","Jung, Hyeonjung; Park, Yoo Sei; Woo, Seongwon; Yang, Juchan; Jang, Myeong Je; Jeong, Jaehoon; Kwon, Nayoung; Lim, Byungkwon; Han, Jeong Woo","Choi, Sung Mook",High-Efficiency Anion-Exchange Membrane Water Electrolyzer Enabled by Ternary Layered Double Hydroxide Anode,2021,Small,10.1002/smll.202100639,"Developing high-efficiency and low-cost oxygen-evolving electrodes in anion exchange membrane (AEM) water electrolysis technology is one of the major challenges. Herein, it is demonstrated that the surface corrosion of a conventional Ni foam electrode in the presence of Fe3+ and V3+ cations can transform it into an electrode with a high catalytic performance for oxygen evolution reaction (OER). The corroded electrode consists of a ternary NiFeV layered double hydroxide (LDH) nanosheet array supported on the Ni foam surface. This NiFeV LDH electrode achieves an OER current density of 100 mA cm-2 at an overpotential of 272 mV in 1 m KOH, outperforming the IrO2 catalyst by 180 mV. Density functional theory calculations reveal that the unique structure and the presence of vanadium in NiFeV LDH play a key role in achieving improved OER activity. When coupled with a commercial Pt/C cathode catalyst, the resulting AEM water electrolyzer achieves a cell current density as high as 2.1 A cm-2 at a voltage of only 1.8 Vcell in 1 m KOH, which is similar to the performance of the proton exchange membrane water electrolyzer obtained from the IrO2 and Pt/C catalysts pair. ",South Korea
"Moschkowitsch, Wenjamin","Gonen, Shmuel; Dhaka, Kapil; Zion, Noam; Honig, Hilah; Tsur, Yoed; Caspary-Toroker, Maytal","Elbaz, Lior",Bifunctional PGM-free metal organic framework-based electrocatalysts for alkaline electrolyzers: trends in the activity with different metal centers ,2021,Nanoscale,10.1039/d0nr07875a ,"In order to solely rely on renewable and efficient energy sources, reliable energy storage and production systems are required. Hydrogen is considered an ideal solution as it can be produced electrochemically by water electrolysis and renewably while no pollutants are released when consumed. The most common catalysts in electrolyzers are composed of rare and expensive precious group metals. Replacing these materials with Earth-abundant materials is important to make these devices economically viable. Metal organic frameworks are one possible solution. Herein we demonstrate the synthesis and characterization studies of metal benzene-tri-carboxylic acid-based metal-organic frameworks embedded in activated carbon. The conductive composite material was found to be electrocatalytically active for both the oxygen evolution reaction and the hydrogen evolution reaction. Furthermore, several metal organic frameworks sharing the same ligand but with different first-row transition metals (M = Co, Cu, Fe, Mn) were compared, and the trend of their activity is discussed. Cobalt was found to have the highest activity among the studied metal centers, and therefore has the best potential to serve as a bifunctional catalyst for alkaline electrolyzers. ",Israel
"Wang, Shan","Lu, Aolin","Zhong, Chuan-Jian",Hydrogen production from water electrolysis: role of catalysts ,2021,Nano Convergence,10.1186/s40580-021-00254-x ,"As a promising substitute for fossil fuels, hydrogen has emerged as a clean and renewable energy. A key challenge is the efficient production of hydrogen to meet the commercial-scale demand of hydrogen. Water splitting electrolysis is a promising pathway to achieve the efficient hydrogen production in terms of energy conversion and storage in which catalysis or electrocatalysis plays a critical role. The development of active, stable, and low-cost catalysts or electrocatalysts is an essential prerequisite for achieving the desired electrocatalytic hydrogen production from water splitting for practical use, which constitutes the central focus of this review. It will start with an introduction of the water splitting performance evaluation of various electrocatalysts in terms of activity, stability, and efficiency. This will be followed by outlining current knowledge on the two half-cell reactions, hydrogen evolution reaction (HER) and oxygen evolution reaction (OER), in terms of reaction mechanisms in alkaline and acidic media. Recent advances in the design and preparation of nanostructured noble-metal and non-noble metal-based electrocatalysts will be discussed. New strategies and insights in exploring the synergistic structure, morphology, composition, and active sites of the nanostructured electrocatalysts for increasing the electrocatalytic activity and stability in HER and OER will be highlighted. Finally, future challenges and perspectives in the design of active and robust electrocatalysts for HER and OER towards efficient production of hydrogen from water splitting electrolysis will also be outlined. ",United States
"Hatae, Toshihisa",,"Miwa, Nobuhiko",Electrolytic hydrogen-generating bottle supplies drinking water with free/combined chlorine and ozone repressed within safety standard under hydrogen-rich conditions ,2021,Medical Gas Research,10.4103/2045-9912.311496 ,"Hydrogen molecules have attracted attention as a new antioxidant, but are left to be confirmedly verified whether the oral administration is highly safe or not, concurrently with retention of abundant hydrogen. When electrolysis was performed for 10 minutes using a direct-current electrolytic hydrogen-water generating bottle with tap water, 'residual free chlorine' concurrently upon the production of molecular hydrogen (444 μg/L) could be appreciably decreased from 0.18 mg/L to 0.12 mg/L as quantified by a N,N-diethyl-p-phenylenediamine-dye colorimetric method. Moreover, the total chlorine concentration (residual bound chlorine plus free chlorine) was estimated to be decreased from 0.17 mg/L to 0.11 mg/L. Although a merit of electrolytic hydrogen-generating bottles exists in electrolysis for periods as short as 10 minutes, the 30-minute electrolysis brought about the more abundant hydrogen (479 μg/L) together with an oxidation-reduction potential of -245 mV; even upon this long-term electrolysis, the gross amounts of chlorine, hypochlorous acid and chloramine were shown not to be increased (0.09-0.10 mg/L from 0.11 mg/L for tap water) as detected by orthotolidine colorimetry. Above-mentioned levels of diverse-type chlorines might fulfill the World Health Organization guideline for drinking water below 5 mg/L. In addition, the dissolved ozone upon electrolytic generation of hydrogen-water was below the detection limit (< 0.05 mg/L) or undetectable, which fulfilled the official safety standards in Japan and the USA for drinking water below 0.1 mg/L, as evaluated by three methods such as an electrode-type ozone checker, indigo dye-utilizing ozone detector capillaries and potassium iodide-based colorimetry. Importantly, even when half the amount of tap water was poured into the tank of the apparatus and electrolyzed, both the residual chlorine and ozone concentrations measured were also below the safety standard. Thus, major potently harmful substances, such as residual free/bound chlorine, or hypochlorous-acid/chloramine, respectively, and dissolved ozone, as the drinking hydrogen-water was direct-current-electrolytically generated, were estimated to be repressed within safety concentration ranges with achievements of abundant hydrogen generation. ",Japan
"Wang, Song","Zhang, Daliang; Ma, Xiaohua; Liu, Jiucong; Chen, Yanli; Zhao, Yunfeng","Han, Yu",Modifying Ionic Membranes with Carbon Dots Enables Direct Production of High-Purity Hydrogen through Water Electrolysis ,2021,ACS Applied Materials & Interfaces,10.1021/acsami.1c09214 ,"Traditional electrolysis of water produces hydrogen with a purity of ∼98%. Using ion transport membranes to prevent the migration of oxygen (O2) from the anode to the cathode, the purity of H2 can be increased to ∼99.8%, but it still cannot fulfill the requirement for use in fuel cells (>99.97%). Here, we report that modifying a commercial ionic membrane (Nafion) with carbon dots (CDs) can further inhibit O2 permeation across the membrane, while effectively improving its ion transportability. The key to achieve these effects is the rational design and proper loading of the CDs, which narrows the pore size of the membrane from ∼4 nm to <2 nm and alters its surface functionality. Using the CDs-modified Nafion membrane in an H-type electrolysis cell, we demonstrate that H2 with a purity of up to 99.98%, which meets the standards of hydrogen fuel cells, can be directly produced without any additional purification process. Our study provides a new route for the low-cost electrolysis of water to produce high-purity hydrogen. ",China
"Lopez-Fernandez, Ester","Sacedon, Celia Gmoez; Gil-Rostra, Jorge; Yubero, Francisco; Gonzalez-Elipe, Agustin R.","de Lucas-Consuegra, Antonio",Recent Advances in Alkaline Exchange Membrane Water Electrolysis and Electrode Manufacturing ,2021,Molecules,10.3390/molecules26216326 ,"Water electrolysis to obtain hydrogen in combination with intermittent renewable energy resources is an emerging sustainable alternative to fossil fuels. Among the available electrolyzer technologies, anion exchange membrane water electrolysis (AEMWE) has been paid much attention because of its advantageous behavior compared to other more traditional approaches such as solid oxide electrolyzer cells, and alkaline or proton exchange membrane water electrolyzers. Recently, very promising results have been obtained in the AEMWE technology. This review paper is focused on recent advances in membrane electrode assembly components, paying particular attention to the preparation methods for catalyst coated on gas diffusion layers, which has not been previously reported in the literature for this type of electrolyzers. The most successful methodologies utilized for the preparation of catalysts, including co-precipitation, electrodeposition, sol-gel, hydrothermal, chemical vapor deposition, atomic layer deposition, ion beam sputtering, and magnetron sputtering deposition techniques, have been detailed. Besides a description of these procedures, in this review, we also present a critical appraisal of the efficiency of the water electrolysis carried out with cells fitted with electrodes prepared with these procedures. Based on this analysis, a critical comparison of cell performance is carried out, and future prospects and expected developments of the AEMWE are discussed. ",Spain
"Singla, Shelly","Shetti, Nagaraj P.; Basu, Soumen; Mondal, Kunal","Aminabhavi, Tejraj M.","Hydrogen production technologies - Membrane based separation, storage and challenges ",2021,Journal of Environmental Management,10.1016/j.jenvman.2021.113963 ,"The production of hydrogen, its separation, and storage for use as a primary source of energy is an important component of the green energy economy of the world. Hydrogen is a potential non-carbon-based energy source, which is gradually replacing the dependency on fossil fuels. It is anticipated that as the alternative fuel since hydrogen can be produced from green and clean sources. The evolution of hydrogen from renewable and non-renewable sources by various technologies has now gained tremendous research and industrial interest. The most appropriate methods for hydrogen generation involve the direct conversion of solar energy, exploitation of solar and wind energy for the electrolysis of water, besides conversion of fuel and biomass. To produce cleaner hydrogen and its separation from the chemical impurities is crucial and several methods including photobiological, photoelectrochemical, electrochemical, photocatalytic, thermochemical, thermolysis, and steam gasification have been used. The diverse types of membranes along with the pressure gas swing adsorption technique is another technique used to separate hydrogen, but the storage of hydrogen in an inexpensive, safe, compact, and environmentally friendly manner is one of the major concerns contributing to the country's economy. Apart from the countless advantages, storage and handling of hydrogen is a serious concern. Owing to its high inflammability, enough safety measures should be adopted during its production and storage as a fuel. It is necessary to provide information regarding the production technologies, storage, and separation methods of hydrogen and the present review addresses these issues. ",India
"Xiao, Xue","Yang, Lijun; Sun, Wenping; Chen, Yu; Yu, Hai; Li, Kangkang; Jia, Baohua; Zhang, Lei","Ma, Tianyi",Electrocatalytic Water Splitting: From Harsh and Mild Conditions to Natural Seawater ,2021,Small,10.1002/smll.202105830 ,"Electrocatalytic water splitting is regarded as the most effective pathway to generate green energy-hydrogen-which is considered as one of the most promising clean energy solutions to the world's energy crisis and climate change mitigation. Although electrocatalytic water splitting has been proposed for decades, large-scale industrial hydrogen production is hindered by high electricity cost, capital investment, and electrolysis media. Harsh conditions (strong acid/alkaline) are widely used in electrocatalytic mechanism studies, and excellent catalytic activities and efficiencies have been achieved. However, the practical application of electrocatalytic water splitting in harsh conditions encounters several obstacles, such as corrosion issues, catalyst stability, and membrane technical difficulties. Thus, the research on water splitting in mild conditions (neutral/near neutral), even in natural seawater, has aroused increasing attention. However, the mechanism in mild conditions or natural seawater is not clear. Herein, different conditions in electrocatalytic water splitting are reviewed and the effects and proposed mechanisms in the three conditions are summarized. Then, a comparison of the reaction process and the effects of the ions in different electrolytes are presented. Finally, the challenges and opportunities associated with direct electrocatalytic natural seawater splitting and the perspective are presented to promote the progress of hydrogen production by water splitting. ",Australia
"Wang, Peican",,"Wang, Baoguo",Designing Self-Supported Electrocatalysts for Electrochemical Water Splitting: Surface/Interface Engineering toward Enhanced Electrocatalytic Performance,2021,ACS Applied Materials & Interfaces,10.1021/acsami.1c17448 ,"Electrochemical water splitting is regarded as the most attractive technique to store renewable electricity in the form of hydrogen fuel. However, the corresponding anodic oxygen evolution reaction (OER) and cathodic hydrogen evolution reaction (HER) remain challenging, which exhibit complex reactions and sluggish kinetic behaviors at the triple-phase interface. Material surface and interface engineering provide a feasible approach to improve catalytic activity. Besides, self-supported electrocatalysts have been proven to be highly efficient toward water splitting, because of the regulated catalyst/substrate interface. In this Review, the state-of-the-art achievements in self-supported electrocatalyst for HER/OER have demonstrated the feasibility of surface and interface engineering strategies to boost performance. The six key effective surface/interface engineering approaches for rational catalysts design are systematically reviewed, including defect engineering, morphology engineering, crystallographic tailoring, heterostructure design, catalyst/substrate interface engineering, and catalyst/electrolyte interface regulation. Finally, the challenges and opportunities on the valuable directions are proposed to inspire future investigation of highly active and durable HER/OER electrocatalysts. ",China
"Luo, Yuting","Zhang, Zhiyuan; Chhowalla, Manish","Liu, Bilu",Recent Advances in Design of Electrocatalysts for High-Current-Density Water Splitting,2021,Advanced Materials,10.1002/adma.202108133 ,"Electrochemical water splitting technology for producing 'green hydrogen' is important for the global mission of carbon neutrality. Electrocatalysts with decent performance at high current densities play a central role in the industrial implementation of this technology. This field has advanced immensely in recent years, as witnessed by many types of catalysts designed and synthesized toward industrially-relevant current densities (> 200 mA cm-2 ). By discussing recent advances in this field, we summarize several key aspects that affect the catalytic performance for high-current-density electrocatalysis, including dimensionality of catalysts, surface chemistry, electron transport path, morphology, and catalyst-electrolyte interplay. We highlight the multiscale design strategy that considers these aspects comprehensively for developing high-current-density electrocatalysts. We also put forward our perspectives on the future directions in this emerging field. This article is protected by copyright. All rights reserved. ",China
