Topic,Description,Category,Studies_Count
Earthworm,"Research studies related to Earthworm",Other,27
Test,"Research studies related to Test",Other,22
studyEarthworm-,"Research studies related to studyEarthworm-",Other,12
Brain,"Research studies related to Brain",Neurological,25
Lung,"Research studies related to Lung",Respiratory,17
Heart,"Research studies related to Heart",Cardiovascular,1
Liver,"Research studies related to Liver",Digestive,17
Intestine,"Research studies related to Intestine",Digestive,14
Skin,"Research studies related to Skin",Skin,29
Kidney,"Research studies related to Kidney",Other,30
Eye,"Research studies related to Eye",Other,49
Bone,"Research studies related to Bone",Musculoskeletal,46
Ear,"Research studies related to Ear",Other,50
Pancreas,"Research studies related to Pancreas",Digestive,17
Muscle,"Research studies related to Muscle",Musculoskeletal,46
Blood,"Research studies related to Blood",Cardiovascular,40
Spine,"Research studies related to Spine",Other,2
Stomach,"Research studies related to Stomach",Digestive,31
Testes,"Research studies related to Testes",Other,23
Nose,"Research studies related to Nose",Other,30
Uterus,"Research studies related to Uterus",Other,8
Tendon,"Research studies related to Tendon",Musculoskeletal,38
Bladder,"Research studies related to Bladder",Other,1
Spleen,"Research studies related to Spleen",Other,34
Cancer,"Research studies related to Cancer",Cancer,43
Injury,"Research studies related to Injury",Other,19
Stroke,"Research studies related to Stroke",Cardiovascular,8
Diabetes,"Research studies related to Diabetes",Endocrine,6
Parkinson's,"Research studies related to Parkinson's",Neurological,25
Disease,"Research studies related to Disease",Other,9
Syndrome,"Research studies related to Syndrome",Other,45
Pain,"Research studies related to Pain",Other,10
Alzheimer's,"Research studies related to Alzheimer's",Neurological,14
Arthritis,"Research studies related to Arthritis",Musculoskeletal,46
Asthma,"Research studies related to Asthma",Respiratory,20
Infection,"Research studies related to Infection",Immune,4
Osteoporosis,"Research studies related to Osteoporosis",Musculoskeletal,23
Inflammation,"Research studies related to Inflammation",Immune,23
Anxiety,"Research studies related to Anxiety",Mental Health,2
Seizure,"Research studies related to Seizure",Neurological,50
Disorder,"Research studies related to Disorder",Other,17
Painful,"Research studies related to Painful",Other,12
Ovary,"Research studies related to Ovary",Other,33
Fatigue,"Research studies related to Fatigue",Other,33
Injury-,"Research studies related to Injury-",Other,10
Disease-,"Research studies related to Disease-",Other,22
Syndrome-,"Research studies related to Syndrome-",Other,16
Pain-,"Research studies related to Pain-",Other,3
Arthritis-,"Research studies related to Arthritis-",Musculoskeletal,48
Infection-,"Research studies related to Infection-",Immune,26
Eye-,"Research studies related to Eye-",Other,15
studySeizure-,"Research studies related to studySeizure-",Neurological,3
studyLiver,"Research studies related to studyLiver",Digestive,13
Disorder-,"Research studies related to Disorder-",Other,40
studyBladder,"Research studies related to studyBladder",Other,27
studyPainful,"Research studies related to studyPainful",Other,45
Toxicity,"Research studies related to Toxicity",Other,19
Graft-Versus-Host-Disease,"Research studies related to Graft-Versus-Host-Disease",Other,26
Depression,"Research studies related to Depression",Mental Health,2
Acne,"Research studies related to Acne",Skin,34
Nerve,"Research studies related to Nerve",Other,36
Vein,"Research studies related to Vein",Cardiovascular,50
Hypertension,"Research studies related to Hypertension",Cardiovascular,25
Toxicity-,"Research studies related to Toxicity-",Other,32
Inflammation-,"Research studies related to Inflammation-",Immune,8
studyLung,"Research studies related to studyLung",Respiratory,22
studyTendon,"Research studies related to studyTendon",Musculoskeletal,7
studyHypertension-,"Research studies related to studyHypertension-",Cardiovascular,20
studyDiabetes-,"Research studies related to studyDiabetes-",Endocrine,45
Pan,"Research studies related to Pan",Other,37
var,"Research studies related to var",Other,40
end,"Research studies related to end",Other,45
slice.states.getKey("active").properties.shiftRadius,"Research studies related to slice.states.getKey(""active"").properties.shiftRadius",Other,26
am4maps.projections.NaturalEarth1();,"Research studies related to am4maps.projections.NaturalEarth1();",Other,22
state,"Research studies related to state",Other,41
AcneAcute,"Research studies related to AcneAcute",Skin,25
InjuryAcute,"Research studies related to InjuryAcute",Other,42
SyndromeAcute,"Research studies related to SyndromeAcute",Other,41
ToxicityAlcoholic,"Research studies related to ToxicityAlcoholic",Other,18
DiseaseAlkali,"Research studies related to DiseaseAlkali",Other,34
BurnAlzheimer's,"Research studies related to BurnAlzheimer's",Neurological,21
DiseaseAmyloid,"Research studies related to DiseaseAmyloid",Other,16
ToxicityAmyotrophic,"Research studies related to ToxicityAmyotrophic",Other,44
SclerosisAnxietyAplastic,"Research studies related to SclerosisAnxietyAplastic",Mental Health,48
EncephalopathyAsthmaAtherosclerosisAtrophyAuditory,"Research studies related to EncephalopathyAsthmaAtherosclerosisAtrophyAuditory",Respiratory,44
InfectionBile,"Research studies related to InfectionBile",Immune,44
InjuryBladder,"Research studies related to InjuryBladder",Other,39
TraumaBrain,"Research studies related to TraumaBrain",Neurological,31
InjuryBronchopulmonary,"Research studies related to InjuryBronchopulmonary",Other,46
CancerCandida,"Research studies related to CancerCandida",Cancer,48
InfectionCardiac,"Research studies related to InfectionCardiac",Cardiovascular,39
DiseaseCataractCavitiesChagas,"Research studies related to DiseaseCataractCavitiesChagas",Other,15
DiseaseChronic,"Research studies related to DiseaseChronic",Other,7
SyndromeChronic,"Research studies related to SyndromeChronic",Other,35
DiseaseCognitive,"Research studies related to DiseaseCognitive",Neurological,47
InjuryCosmetic,"Research studies related to InjuryCosmetic",Other,24
IntegrityDepressionDermatitisDermatophagoides,"Research studies related to IntegrityDepressionDermatitisDermatophagoides",Mental Health,11
exposureDiabetes,"Research studies related to exposureDiabetes",Endocrine,41
I)Diabetes,"Research studies related to I)Diabetes",Endocrine,23
InjuryDisuse,"Research studies related to InjuryDisuse",Other,7
EyeDyslipidemiaDyspnea,"Research studies related to EyeDyslipidemiaDyspnea",Other,15
FatigueFatty,"Research studies related to FatigueFatty",Other,11
InfectionFood,"Research studies related to InfectionFood",Immune,8
InjuryGastric,"Research studies related to InjuryGastric",Other,38
DiseaseGingivitisGlaucomaGlomerulosclerosisGraft-Versus-Host-Disease,"Research studies related to DiseaseGingivitisGlaucomaGlomerulosclerosisGraft-Versus-Host-Disease",Other,32
LossHeart,"Research studies related to LossHeart",Cardiovascular,8
AttackHeart,"Research studies related to AttackHeart",Cardiovascular,12
InfectionHemolytic,"Research studies related to InfectionHemolytic",Immune,11
DysfunctionIndigestionInfertilityInflammationInflammatory,"Research studies related to DysfunctionIndigestionInfertilityInflammationInflammatory",Immune,3
DiseaseInterstitial,"Research studies related to DiseaseInterstitial",Other,23
DiseaseIntervertebral,"Research studies related to DiseaseIntervertebral",Other,20
InjuryIntestinal,"Research studies related to InjuryIntestinal",Other,5
SyndromeIschemia-Reperfusion,"Research studies related to SyndromeIschemia-Reperfusion",Other,18
DiseaseKeratin,"Research studies related to DiseaseKeratin",Other,14
PlugsKidney,"Research studies related to PlugsKidney",Other,10
FailureKidney,"Research studies related to FailureKidney",Other,43
DiseaseLiver,"Research studies related to DiseaseLiver",Digestive,6
FailureLiver,"Research studies related to FailureLiver",Digestive,41
InjuryLung,"Research studies related to InjuryLung",Respiratory,43
ContusionLung,"Research studies related to ContusionLung",Respiratory,25
SyndromeMotor,"Research studies related to SyndromeMotor",Other,2
SyndromeMultiple,"Research studies related to SyndromeMultiple",Other,28
PainNo-Reflow,"Research studies related to PainNo-Reflow",Other,8
SyndromeNon-Alcoholic,"Research studies related to SyndromeNon-Alcoholic",Other,45
DiseaseObstructive,"Research studies related to DiseaseObstructive",Other,14
CrushOsteoarthritisOsteonecrosisOsteoporosisOvarian,"Research studies related to CrushOsteoarthritisOsteonecrosisOsteoporosisOvarian",Musculoskeletal,47
InjuryOxalate,"Research studies related to InjuryOxalate",Other,23
