Topic,Studies
Acne,"The Efficacy and Tolerability of Electrolyzed Oxidized Water in Treating Mild to Moderate Acne2004 - Skin - Cosmetic Skin IssuesThe purpose of this study was to determine the efficacy and the tolerability of the Charme™ system, a hand-held device that electrolyzes a water-based sodium chloride solution and delivers electrolyzed oxidized water (EOW) to the skin, in the ..."
Acute Kidney Injury,"Inhalation of 4% and 67% hydrogen ameliorates oxidative stress, inflammation, apoptosis, and ...2023 - Kidney - Acute Kidney InjuryAcute kidney injury (AKI) is the major complication of rhabdomyolysis (RM) clinically, which is usually mimicked by glycerol injection in basic research. Oxidative stress, inflammatory response and apoptosis are recognized to play important roles in ...

Hydrogen Rich Water Attenuates Renal Injury and Fibrosis by Regulation Transforming Growth Factor-β ...2017 - Kidney - Acute Kidney InjuryThe current research was designed to study the role of hydrogen in renal fibrosis and the renal epithelial to mesenchymal transition (EMT) induced by transforming growth factor-β1 (TGF-β1). Hydrogen rich water (HW) was used to treat animal and cell ...

Hydrogen-Rich Saline Promotes the Recovery of Renal Function after Ischemia/Reperfusion Injury in ...2016 - Kidney - Acute Kidney InjuryPurpose: Hydrogen is a proven novel antioxidant that selectively reduces hydroxyl radicals. In this study, we investigated the effects of hydrogen-rich saline solution on the prevention of renal injury induced by ischemia/reperfusion (I/R) and on ...

Effects of hydrogen-rich saline on early acute kidney injury in severely burned rats by suppressing ...2015 - Kidney - Acute Kidney InjuryEarly acute kidney injury (AKI) in severely burned patients predicts a high mortality that is multi-factorial. Hydrogen has been reported to alleviate organ injury via selective quenching of reactive oxygen species. This study investigated the ...

Pretreatment with hydrogen-rich saline reduces the damage caused by glycerol-induced rhabdomyolysis ...2014 - Kidney - Acute Kidney InjuryBackground: Rhabdomyolysis is a leading cause of acute kidney injury. The pathophysiological process involves oxidative stress and inflammation. Hydrogen-rich saline (HRS) is an antioxidant and anti-inflammatory. This study explored the protective ...

Hydrogen-rich saline ameliorates renal injury induced by unilateral ureteral obstruction in rats2013 - Kidney - Acute Kidney InjuryHydrogen has been demonstrated to have effective protection against tissue injuries caused by oxidative stress, inflammation, and apoptosis. This study investigated the efficacy of hydrogen-rich saline (HS) on the prevention of renal injury induced ..."
Acute Respiratory Distress Syndrome,
Acute Tubuluar Necrosis,"Saturated hydrogen alleviates CCl 4 -induced acute kidney injury via JAK2/STAT3/p65 signaling2020 - Kidney - Acute Kidney InjuryObjectives: This study assessed the protective effects of saturated hydrogen against CCl4-induced acute kidney injury (AKI) in mice, and investigated signaling pathways activated by exposure to saturated hydrogen. Methods: A mouse model of ..."
Addiction,
Aflatoxicosis,"Ameliorative Effects of Neutral Electrolyzed Water on Growth Performance, Biochemical Constituents, ...2017 - Whole Body - Food PoisoningDifferent in vitro and in silico approaches from our research group have demonstrated that neutral electrolyzed water (NEW) can be used to detoxify aflatoxins. The objective of this investigation was to evaluate the ability of NEW to detoxify ...

Anti-injury effect of hydrogen-enriched water in a rat model of liver injury induced by aflatoxin B12019 - Liver - Food PoisoningThe purpose of this study was to investigate the anti-injury effect and protective mechanism of hydrogen-enriched water in a rat model of acute liver injury induced by aflatoxin B1 (AFB1). Healthy male Sprague-Dawley (SD) rats were randomly divided ..."
Aging,"Attenuation of pulmonary damage in aged lipopolysaccharide-induced inflammation mice through ...2023 - Lung - AgingIntroduction: With the global population aging, there is an increased prevalence of sepsis among the elderly, a demographic particularly susceptible to inflammation. This study aimed to evaluate the therapeutic potential of hydrogen gas, known for ...

The effect of a low dose hydrogen-oxygen mixture inhalation in midlife/older adults with ...2022 - Heart - AgingObjective: To explore the effect of a low-dose hydrogen-oxygen (H2-O2) mixture inhalation in midlife/older adults with hypertension. Methods: This randomized, placebo-controlled trial included 60 participants with hypertension aged 50-70 years who ...

The effects of 6-month hydrogen-rich water intake on molecular and phenotypic biomarkers of aging in ...2021 - Whole Body - AgingIn this randomized controlled pilot trial, we investigated the effects of a 6-month intake of hydrogen-rich water (HRW) on several molecular and phenotypic biomarkers of aging in older adults aged 70 years and over. Forty older adults (20 women) were ...

Effect of electrolyzed water intake on lifespan of autoimmune disease prone mice1998 - Whole Body - AgingRecent studies on electrolyzed water indicate that anode or acidic water is most effective as disinfectants; whereas, reduced or alkaline water processed through cathode is used as safe drinking water. The present drinking water study was undertaken ..."
Alcohol Toxicity,
Alcoholic Liver Disease,
Alkali Burn,"Prophylactic Instillation of Hydrogen-Rich Water Decreases Corneal Inflammation and Promotes Wound ...2022 - Eye - Corneal InjuryMany studies have demonstrated the therapeutic effects of hydrogen in pathological conditions such as inflammation; however, little is known about its prophylactic effects. The purpose of this study is to investigate the prophylactic effects of ...

Retracted: An Immunohistochemical Study of the Increase in Antioxidant Capacity of Corneal ...2020 - Eye - Corneal InjuryCorneal alkali burns are potentially blinding injuries. Alkali induces oxidative stress in corneas followed by excessive corneal inflammation, neovascularization, and untransparent scar formation. Molecular hydrogen (H2), a potent reactive oxygen ...

Retracted: Molecular Hydrogen Effectively Heals Alkali-Injured Cornea via Suppression of Oxidative ...2017 - Eye - Corneal InjuryThe aim of this study was to examine the effect of molecular hydrogen (H2) on the healing of alkali-injured cornea. The effects of the solution of H2 in phosphate buffered saline (PBS) or PBS alone topically applied on the alkali-injured rabbit ..."
