Topic,Title,URL,Description,Studies Count,Lists Count,Status,Error
"Acne","Acne","https://hydrogenstudies.com/tertiary-topic/acne/","",0,0,"Success",""
"Depression","Depression","https://hydrogenstudies.com/tertiary-topic/depression/","",0,0,"Success",""
"Erectile Dysfunction","Erectile Dysfunction","https://hydrogenstudies.com/tertiary-topic/erectile-dysfunction/","",0,0,"Success",""
"Gastritis","Gastritis","https://hydrogenstudies.com/tertiary-topic/gastritis/","",0,0,"Success",""
"Glaucoma","Glaucoma","https://hydrogenstudies.com/tertiary-topic/glaucoma/","",0,0,"Success",""
"Macular Degeneration","Macular Degeneration","https://hydrogenstudies.com/tertiary-topic/macular-degeneration/","",0,0,"Success",""
"Ulcerative Colitis","Ulcerative Colitis","https://hydrogenstudies.com/tertiary-topic/ulcerative-colitis/","",0,0,"Success",""
"Concussion","Concussion","https://hydrogenstudies.com/tertiary-topic/concussion/","",0,0,"Success",""
"Constipation","Constipation","https://hydrogenstudies.com/tertiary-topic/constipation/","",0,0,"Success",""
"Diarrhea","Diarrhea","https://hydrogenstudies.com/tertiary-topic/diarrhea/","",0,0,"Success",""
"Edema","Edema","https://hydrogenstudies.com/tertiary-topic/edema/","",0,0,"Success",""
"Erectile Dysfunction","Erectile Dysfunction","https://hydrogenstudies.com/tertiary-topic/erectile-dysfunction/","",0,0,"Success",""
"Macular Degeneration","Macular Degeneration","https://hydrogenstudies.com/tertiary-topic/macular-degeneration/","",0,0,"Success",""
"Panic Disorder","Panic Disorder","https://hydrogenstudies.com/tertiary-topic/panic-disorder/","",0,0,"Success",""
