Topic,Studies
Acne,"Efficacy of Hydrogen Purification and Cosmetic Acids in the Treatment of Acne Vulgaris: A ...2022 - Skin - Cosmetic Skin IssuesAcne and skin lesions that appear in its course deteriorate the quality of life of patients, cause depression and the emergence of suicidal thoughts. Cosmetic treatments can have a positive effect on improving skin condition by cleaning up skin ...

Effects of Topical Hydrogen Purification on Skin Parameters and Acne Vulgaris in Adult Women2021 - Skin - Cosmetic Skin IssuesBackground: Acne vulgaris is a prevalent dermatological disease characterized by skin eruptions, which may decrease the sufferer's quality of life. Hydrogen purification treatment is a new procedure used in cosmetology to improve the skin parameters ...

The Efficacy and Tolerability of Electrolyzed Oxidized Water in Treating Mild to Moderate Acne2004 - Skin - Cosmetic Skin IssuesThe purpose of this study was to determine the efficacy and the tolerability of the Charme™ system, a hand-held device that electrolyzes a water-based sodium chloride solution and delivers electrolyzed oxidized water (EOW) to the skin, in the ..."
Acute Kidney Injury,"Inhalation of 4% and 67% hydrogen ameliorates oxidative stress, inflammation, apoptosis, and ...2023 - Kidney - Acute Kidney InjuryAcute kidney injury (AKI) is the major complication of rhabdomyolysis (RM) clinically, which is usually mimicked by glycerol injection in basic research. Oxidative stress, inflammatory response and apoptosis are recognized to play important roles in ...

Effect of water diuresis with hydrogen saturation on the course of acute kidney damage during the ...2022 - Kidney - Acute Kidney InjuryMolecular hydrogen has the ability to penetrate cells, easily reach mitochondria, overcome body barriers, penetrate areas of ischemia, edema and inflammation, improve energy supply by supplying additional electrons and have antioxidant and ...

Development of a novel porcine ischemia/reperfusion model inducing different ischemia times in ...2022 - Kidney - Acute Kidney InjuryBackground: Acute kidney injury and its central pathology, renal ischemia reperfusion injury (IRI), have been studied in many animal models. Although renal IRI has been induced in pig models in many ways, simultaneous bilateral ischemia or unilateral ...

Hydrogen Rich Water Attenuates Renal Injury and Fibrosis by Regulation Transforming Growth Factor-β ...2017 - Kidney - Acute Kidney InjuryThe current research was designed to study the role of hydrogen in renal fibrosis and the renal epithelial to mesenchymal transition (EMT) induced by transforming growth factor-β1 (TGF-β1). Hydrogen rich water (HW) was used to treat animal and cell ...

Hydrogen-Rich Saline Promotes the Recovery of Renal Function after Ischemia/Reperfusion Injury in ...2016 - Kidney - Acute Kidney InjuryPurpose: Hydrogen is a proven novel antioxidant that selectively reduces hydroxyl radicals. In this study, we investigated the effects of hydrogen-rich saline solution on the prevention of renal injury induced by ischemia/reperfusion (I/R) and on ...

Hydrogen-Rich Saline Attenuates Acute Renal Injury in Sodium Taurocholate-Induced Severe Acute ...2015 - Kidney - Acute Kidney InjuryHydrogen (H2), a new antioxidant, was reported to reduce •OH and ONOO− selectively and inhibit certain proinflammatory mediators to product, without disturbing metabolic redox reactions or ROS involved in cell signaling. We herein aim to explore ...

Effects of hydrogen-rich saline on early acute kidney injury in severely burned rats by suppressing ...2015 - Kidney - Acute Kidney InjuryEarly acute kidney injury (AKI) in severely burned patients predicts a high mortality that is multi-factorial. Hydrogen has been reported to alleviate organ injury via selective quenching of reactive oxygen species. This study investigated the ...

Pretreatment with hydrogen-rich saline reduces the damage caused by glycerol-induced rhabdomyolysis ...2014 - Kidney - Acute Kidney InjuryBackground: Rhabdomyolysis is a leading cause of acute kidney injury. The pathophysiological process involves oxidative stress and inflammation. Hydrogen-rich saline (HRS) is an antioxidant and anti-inflammatory. This study explored the protective ...

Hydrogen-rich saline ameliorates renal injury induced by unilateral ureteral obstruction in rats2013 - Kidney - Acute Kidney InjuryHydrogen has been demonstrated to have effective protection against tissue injuries caused by oxidative stress, inflammation, and apoptosis. This study investigated the efficacy of hydrogen-rich saline (HS) on the prevention of renal injury induced ...

Protective effect of hydrogen-rich water against gentamicin-induced nephrotoxicity in rats using ...2011 - Kidney - Acute Kidney InjuryPurpose: We assessed intrarenal oxygenation in gentamicin-induced nephrotoxicity (GIN) and the protective effect of hydrogen-rich water (HW) against GIN using blood oxygenation level-dependent magnetic resonance (MR) imaging. Materials and methods: ..."
Acute Respiratory Distress Syndrome,"Hydrogen Repairs LPS-Induced Endothelial Progenitor Cells Injury via PI3K/AKT/eNOS Pathway2022 - Lung - SepsisEndotoxins and other harmful substances may cause an increase in permeability in endothelial cells (ECs) monolayers, as well as ECs shrinkage and death to induce lung damage. Lipopolysaccharide (LPS) can impair endothelial progenitor cells (EPCs) ...

Magnesium Hydride Ameliorates Endotoxin-Induced Acute Respiratory Distress Syndrome by Inhibiting ...2022 - Lung - SepsisAcute respiratory distress syndrome (ARDS) causes uncontrolled pulmonary inflammation, resulting in high morbidity and mortality in severe cases. Given the antioxidative effect of molecular hydrogen, some recent studies suggest the potential use of ..."
Acute Tubuluar Necrosis,"Saturated hydrogen alleviates CCl 4 -induced acute kidney injury via JAK2/STAT3/p65 signaling2020 - Kidney - Acute Kidney InjuryObjectives: This study assessed the protective effects of saturated hydrogen against CCl4-induced acute kidney injury (AKI) in mice, and investigated signaling pathways activated by exposure to saturated hydrogen. Methods: A mouse model of ..."
Addiction,"Hydrogen enriched saline alleviates morphine tolerance via inhibiting neuroinflammation, GLT-1, GS ...2021 - Brain - AddictionThe development and maintenance of morphine tolerance showed association with neuroinflammation and dysfunction of central glutamatergic system (such as nitration of glutamate transporter). Recent evidence indicated that hydrogen could reduce the ...

Molecular hydrogen attenuates methamphetamine-induced behavioral sensitization and activation of ...2020 - Brain - AddictionMethamphetamine (METH) is one of the most prevalently used illegal psychostimulants in many countries. Continuous exposure to METH leads to behavioral sensitization in animals, which can be used as a behavioral model with many mechanisms in common ...

Effects of Molecular Hydrogen on Methamphetamine-Induced Neurotoxicity and Spatial Memory Impairment2019 - Brain - AddictionMethamphetamine (METH) is a highly addictive stimulant, and METH exposure can induce irreversible neuronal damage and cause neuropsychiatric and cognitive disorders. The ever-increasing levels of METH abuse worldwide have necessitated the ...

Hydrogen-rich saline attenuates anxiety-like behaviors in morphine-withdrawn mice2017 - Brain - AddictionHydrogen therapy is a new medical approach for a wide range of diseases. The effects of hydrogen on central nervous system-related diseases have recently become increasingly appreciated, but little is known about whether hydrogen affects the morphine ..."
Aflatoxicosis,"Ameliorative Effects of Neutral Electrolyzed Water on Growth Performance, Biochemical Constituents, ...2017 - Whole Body - Food PoisoningDifferent in vitro and in silico approaches from our research group have demonstrated that neutral electrolyzed water (NEW) can be used to detoxify aflatoxins. The objective of this investigation was to evaluate the ability of NEW to detoxify ...

Anti-injury effect of hydrogen-enriched water in a rat model of liver injury induced by aflatoxin B12019 - Liver - Food PoisoningThe purpose of this study was to investigate the anti-injury effect and protective mechanism of hydrogen-enriched water in a rat model of acute liver injury induced by aflatoxin B1 (AFB1). Healthy male Sprague-Dawley (SD) rats were randomly divided ..."
Aging,"Attenuation of pulmonary damage in aged lipopolysaccharide-induced inflammation mice through ...2023 - Lung - AgingIntroduction: With the global population aging, there is an increased prevalence of sepsis among the elderly, a demographic particularly susceptible to inflammation. This study aimed to evaluate the therapeutic potential of hydrogen gas, known for ...

Intermittent environmental exposure to hydrogen prevents skin photoaging through reduction of ...2023 - Skin - AgingAim: Molecular hydrogen is not only expected to be used as an energy-generating resource, but also to have preventive effects on a variety of clinical manifestations related to oxidative stress through scavenging radicals or regulating gene ...

The effect of a low dose hydrogen-oxygen mixture inhalation in midlife/older adults with ...2022 - Heart - AgingObjective: To explore the effect of a low-dose hydrogen-oxygen (H2-O2) mixture inhalation in midlife/older adults with hypertension. Methods: This randomized, placebo-controlled trial included 60 participants with hypertension aged 50-70 years who ...

Effects of Natural Reduced Water on Cognitive Function, Body Composition, and Psychological Function ...2021 - Brain - AgingNatural reduced water is natural water that contains active hydrogen and reduces oxidation. It is rare in the world, and in Japan, it is produced in the Hita area of Oita Prefecture (Hita Tenryosui water). Previous studies in humans have examined the ...

Protective Effect of Molecular Hydrogen Following Different Routes of Administration on ...2021 - Whole Body - AgingBackground: Molecular hydrogen (H2) has been recognized as an effective antioxidant with no or little side effects. While it is known that oxidative stress is closely associated with aging, the beneficial effect of H2 on oxidative stress-related ...

The Anti-Inflammatory Effect of Hydrogen Gas Inhalation and Its Influence on Laser-Induced Choroidal ...2021 - Eye - AgingBackground: Age-related macular degeneration (AMD) is a leading cause of blindness in the elderly. Choroidal neovascularization (CNV) is the major pathologic feature of neovascular AMD. Oxidative damages and the ensuing chronic inflammation are ...

The effects of 6-month hydrogen-rich water intake on molecular and phenotypic biomarkers of aging in ...2021 - Whole Body - AgingIn this randomized controlled pilot trial, we investigated the effects of a 6-month intake of hydrogen-rich water (HRW) on several molecular and phenotypic biomarkers of aging in older adults aged 70 years and over. Forty older adults (20 women) were ...

Hydrogen Indirectly Suppresses Increases in Hydrogen Peroxide in Cytoplasmic Hydroxyl ...2019 - Whole Body - AgingBacteria inhabiting the human gut metabolize microbiota-accessible carbohydrates (MAC) contained in plant fibers and subsequently release metabolic products. Gut bacteria produce hydrogen (H2), which scavenges the hydroxyl radical (•OH). Because H2 ...

Electrolyzed-Reduced Water as Artificial Hot Spring Water2003 - Skin - AgingWater-electrolysis with ion-exchange membranes followed by passing through ac- tivated carbon filter conducted to produce electrolyzed-reduced water that has neutral and reductive characteristics. In addition, the electrolyzed-reduced water was also ...

Effect of electrolyzed water intake on lifespan of autoimmune disease prone mice1998 - Whole Body - AgingRecent studies on electrolyzed water indicate that anode or acidic water is most effective as disinfectants; whereas, reduced or alkaline water processed through cathode is used as safe drinking water. The present drinking water study was undertaken ..."
Alcohol Toxicity,"Hydrogen gas alleviates acute ethanol-induced hepatotoxicity in mice via modulating TLR4/9 innate ...2023 - Liver - Fatty Liver Disease (Alcoholic)Alcoholic liver disease (ALD), which is induced by chronic heavy alcohol consumption, accompanies complicated pathological mechanisms, including oxidative stress, inflammation, cell death, epigenetic changes and acetaldehyde-mediated toxicity. ...

Electrolyzed Hydrogen Water Protects against Ethanol-Induced Cytotoxicity by Regulating Aldehyde ...2021 - Liver - Liver DiseaseExcessive alcohol consumption can cause multi-systemic diseases. Among them, alcoholic liver disease is the most frequent and serious disease. Electrolytic hydrogen water (EHW) is produced at the cathode during electrolysis of water and contains a ...

Hydrogen gas alleviates acute alcohol-induced liver injury by inhibiting JNK activation2021 - Liver - Liver DiseaseBinge alcohol drinking is fast becoming a global health concern, with the liver among the first organ involved and the one afflicted with the greatest degree of injury. Oxidative stress, alterations in hepatic metabolism, immunity and inflammation ...

Anti-oxidant and anti-inflammatory effects of hydrogen-rich water alleviate ethanol-induced fatty ...2017 - Liver - Fatty Liver Disease (Alcoholic)Aim: To investigate the effects of hydrogen-rich water (HRW) treatment on prevention of ethanol (EtOH)-induced early fatty liver in mice. Methods: In vitro reduction of hydrogen peroxide by HRW was determined with a chemiluminescence system. Female ..."
Alcoholic Liver Disease,"Hydrogen gas ameliorates acute alcoholic liver injury via anti-inflammatory and antioxidant effects ...2023 - Liver - Alcoholic Liver DiseaseAlcoholic liver disease (ALD) is a globally prevalent liver-related disorder characterized by severe oxidative stress and inflammatory liver damage, for which no effective treatment is currently available. Hydrogen gas (H2) has been demonstrated to ..."
Alkali Burn,"Prophylactic Instillation of Hydrogen-Rich Water Decreases Corneal Inflammation and Promotes Wound ...2022 - Eye - Corneal InjuryMany studies have demonstrated the therapeutic effects of hydrogen in pathological conditions such as inflammation; however, little is known about its prophylactic effects. The purpose of this study is to investigate the prophylactic effects of ...

Retracted: An Immunohistochemical Study of the Increase in Antioxidant Capacity of Corneal ...2020 - Eye - Corneal InjuryCorneal alkali burns are potentially blinding injuries. Alkali induces oxidative stress in corneas followed by excessive corneal inflammation, neovascularization, and untransparent scar formation. Molecular hydrogen (H2), a potent reactive oxygen ...

Hydrogen promotes the activation of Cu, Zn superoxide dismutase in a rat corneal alkali-burn model2020 - Eye - Corneal InjuryAim: To investigate the effects of hydrogen (H2) on Cu, Zn superoxide dismutase (SOD1) activation in a rat model of corneal alkali burn. Methods: In each rat, one cornea was subjected to alkali exposure. Physiological saline (saline group) or ...

Retracted: Molecular Hydrogen Effectively Heals Alkali-Injured Cornea via Suppression of Oxidative ...2017 - Eye - Corneal InjuryThe aim of this study was to examine the effect of molecular hydrogen (H2) on the healing of alkali-injured cornea. The effects of the solution of H2 in phosphate buffered saline (PBS) or PBS alone topically applied on the alkali-injured rabbit ...

Hydrogen and N-Acetyl-L-Cysteine Rescue Oxidative Stress-Induced Angiogenesis in a Mouse Corneal ...2011 - Eye - Corneal InjuryTo investigate the role of reactive oxygen species (ROS) as the prime initiators of the angiogenic response after alkali injury of the cornea and observe the effects of antioxidants in preventing angiogenesis. The corneal epithelia of SOD-1-deficient ..."
Alzheimer's Disease,"Effects of Hydrogen Gas Inhalation on Community-Dwelling Adults of Various Ages: A Single-Arm, ...2023 - Brain - Alzheimer's DiseaseMolecular hydrogen (H2) is a versatile therapeutic agent. H2 gas inhalation is reportedly safe and has a positive impact on a range of illnesses, including Alzheimer's disease (AD). Herein, we investigated the effects of 4 weeks of H2 gas inhalation ...

Efficacy of donepezil plus hydrogen-oxygen mixture inhalation for treatment of patients with ...2023 - Brain - Alzheimer's DiseaseTo investigate the clinical effect of donepezil combined with hydrogen-oxygen mixture inhalation in the treatment of patients with Alzheimer disease (AD), a total of 273 AD patients admitted to our hospital from March 2018 to March 2022 were ...

Therapeutic Inhalation of Hydrogen Gas for Alzheimer’s Disease Patients and Subsequent ...2023 - Brain - Alzheimer's Disease(1) Background: Alzheimer's disease (AD) is a progressive and fatal neurodegenerative disorder. Hydrogen gas (H2) is a therapeutic medical gas with multiple functions such as anti-oxidant, anti-inflammation, anti-cell death, and the stimulation of ...

Hydrogen-rich water ameliorates neuropathological impairments in a mouse model of Alzheimer’s ...2022 - Brain - Alzheimer's DiseaseHydrogen exhibits the potential to treat Alzheimer's disease. Stereotactic injection has been previously used as an invasive method of administering active hydrogen, but this method has limitations in clinical practice. In this study, triple ...

Sustained release of bioactive hydrogen by Pd hydride nanoparticles overcomes Alzheimer’s ...2019 - Brain - Alzheimer's DiseaseOxidative stress-induced mitochondrial dysfunction plays an important role in the pathogenesis of Alzheimer's disease (AD). Hydrogen molecule, a special antioxidant, can selectively scavenge highly cytotoxic reactive oxygen species such as ·OH, ...

Hydrogen-rich water improves cognitive impairment gender-dependently in APP/PS1 mice without ...2018 - Brain - Alzheimer's DiseaseAlzheimer's disease (AD) is characterised as a provoked inflammatory response and oxidative stress along with amyloid β peptide (Aβ) deposition and neurofibrillary tangles in the brain, and effective treatment is greatly needed. Molecular hydrogen, ...

Electrolyzed-reduced water mitigates amyloid beta toxicity via DAF-16 in C. elegans2016 - Brain - Alzheimer's DiseaseAlzheimer’s disease is an age-related neurodegenerative disease. Extracellular aggregation of amyloid beta is a well-known hallmark of Alzheimer’s disease and believed to be critical for the development of Alzheimer’s disease. Lots of efforts ...

Hydrogen-rich water attenuates amyloid β-induced cytotoxicity through upregulation of Sirt1-FoxO3a ...2015 - Brain - Alzheimer's DiseaseAmyloid β (Aβ) peptides are identified in cause of neurodegenerative diseases such as Alzheimer's disease (AD). Previous evidence suggests Aβ-induced neurotoxicity is linked to the stimulation of reactive oxygen species (ROS) production. The ...

Hydrogen-rich saline reduces oxidative stress and inflammation by inhibit of JNK and NF-kappa B ...2011 - Brain - Alzheimer's DiseaseThis study is to examine if hydrogen-rich saline reduced amyloid-beta (A beta) induced neural inflammation and oxidative stress in a rat model by attenuation of activation of JNK and NF-kappa B. Sprague-Dawley male rats (n = 18,280-330 g) were ...

Hydrogen-rich saline improves memory function in a rat model of amyloid-beta-induced ...2010 - Brain - Alzheimer's DiseaseThis study is to examine if hydrogen-rich saline reduced amyloid beta (Abeta) induced neural inflammation, and learning and memory deficits in a rat model. S-D male rats (n=84, 280-330g) were divided into three groups, sham-operated, Abeta1-42 ..."
